,Suburb,Site,Exposure period,Notes,Date added,Health advice,date_exposure,date_added,tier,date_delay
10,Suburb Maidstone,Site Arcare Maidstone Aged Care Facility 31 Hampstead Road Maidstone VIC 3012,Exposure period 26/05/2021 7:00am - 11:59pm,Notes Any other attendence at Arcare Maidstone since 07:00 am from 26/05/2021 until lockdown on 29/05/2021 inclusive,Date added 31/05/2021 12:00pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-31,2,5
11,Suburb Maidstone,Site Arcare Maidstone Aged Care Facility (Communial Facilities) 31 Hampstead Road Maidstone VIC 3012,Exposure period 27/05/2021 12:00am - 11:59pm,"Notes Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tea room or office space) with a confirmed case",Date added 31/05/2021 12:00pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-27,2021-05-31,1,4
12,Suburb Maidstone,Site Arcare Maidstone Aged Care Facility (Communal Facilities) 31 Hampstead Road Maidstone VIC 3012,Exposure period 28/05/2021 12:00am - 11:59pm,"Notes Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tea room or office space) with a confirmed case",Date added 31/05/2021 12:00pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-28,2021-05-31,1,3
13,Suburb Maidstone,Site Arcare Maidstone Aged Care Facility (Communal Facilities) 31 Hampstead Road Maidstone VIC 3012,Exposure period 29/05/2021 12:00am - 11:59pm,"Notes Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tea room or office space) with a confirmed case",Date added 31/05/2021 12:00pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-29,2021-05-31,1,2
14,Suburb Thomastown,Site BP Petrol Station 72 Keon Parade Thomastown VIC 3074,Exposure period 28/05/2021 2:40pm - 3:30pm,Notes Case attended venue,Date added 31/05/2021 12:00pm,"Health advice Tier 3 - Monitor for symptoms Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",2021-05-28,2021-05-31,3,3
15,Suburb Chelsea Heights,Site Subway Chelsea Heights 1-3 Piper Drive Chelsea Heights VIC 3196,Exposure period 25/05/2021 11:30am - 12:15pm,Notes Case attended venue,Date added 31/05/2021 10:42am,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-25,2021-05-31,1,6
16,Suburb Bus Route,"Site PTV Bus Number 406 Footscray Station to Emu Road/Hampstead Road, Maidstone Bus Route VIC",Exposure period 27/05/2021 6:35am - 7:20am,"Notes Case travelled on public transport from Footscray Station to Emu Road/Hampstead Road, Maidstone",Date added 31/05/2021 10:42am,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-27,2021-05-31,1,4
17,Suburb Bus Route,"Site PTV Bus Number 406 Emu Road/Hampstead Road, Maidstone to Footscray Station Bus Route VIC",Exposure period 27/05/2021 1:27pm - 2:15pm,"Notes Case travelled on public transport from Emu Road/Hampstead Road, Maidstone to Footscray Station",Date added 31/05/2021 10:42am,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-27,2021-05-31,1,4
18,Suburb Bus Route,"Site PTV Bus Number 412 Footscray Station, Paisley Street to Central Square Shopping Centre stop Bus Route VIC",Exposure period 27/05/2021 2:39pm - 3:52pm,Notes Case travelled on scheduled 14:30 Service,Date added 31/05/2021 10:42am,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-27,2021-05-31,1,4
19,Suburb South Yarra,Site Giant Bike Shop Unit 1/316-320 Toorak Road South Yarra VIC 3141,Exposure period 22/05/2021 3:21pm - 4:30pm,Notes Case attended venue,Date added 31/05/2021 10:42am,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-31,2,9
20,Suburb Cranbourne,Site Connor Cranbourne Park Shopping Centre 132 High Street Cranbourne VIC 3977,Exposure period 23/05/2021 10:50am - 11:30am,Notes Case attended venue,Date added 31/05/2021 10:42am,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-31,2,8
21,Suburb Glen Iris,Site Bakers Delight Tooronga Village Corner Tooronga Road and Toorka Road Glen Iris VIC 3146,Exposure period 23/05/2021 4:10pm - 5:00pm,Notes Case attended venue,Date added 31/05/2021 10:42am,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-31,2,8
22,Suburb Parkdale,Site Adairs Parkdale Plaza Unit 6/383 Nepean Highway Parkdale VIC 3195,Exposure period 25/05/2021 1:00pm - 2:10pm,Notes Case attended venue,Date added 31/05/2021 10:42am,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-25,2021-05-31,2,6
23,Suburb South Melbourne,Site Australia Post South Melbourne 100 Market Street South Melbourne VIC 3205,Exposure period 21/05/2021 5:55pm - 6:40pm,Notes Case attended venue,Date added 31/05/2021 10:42am,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-21,2021-05-31,2,10
24,Suburb Bus Route,Site PTV Bus Number 412 Central Square Shopping Centre/Merton Stop to Footscray Station Bus Route VIC,Exposure period 26/05/2021 5:37am - 6:25am,Notes Case travelled on public transport from Central Square Shopping Centre Merton Stop to Footscray Station,Date added 31/05/2021 9:22am,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-31,1,5
25,Suburb Point Cook,Site Stockland Point Cook Shopping Centre 5 Main Street & Murnong Street Point Cook VIC 3030,Exposure period 26/05/2021 3:30pm - 5:30pm,Notes Case attended venue,Date added 31/05/2021 9:22am,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-31,2,5
61,Suburb Reservoir,Site Healthy India 276 Broadway Reservoir VIC 3073,Exposure period 24/05/2021 8:00am - 6:00pm,Notes Case worked at venue,Date added 30/05/2021 10:10pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-24,2021-05-30,1,6
62,Suburb Reservoir,Site Healthy India 276 Broadway Reservoir VIC 3073,Exposure period 25/05/2021 10:00am - 9:30pm,Notes Case worked at venue,Date added 30/05/2021 10:10pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-25,2021-05-30,1,5
63,Suburb Reservoir,Site Healthy India 276 Broadway Reservoir VIC 3073,Exposure period 26/05/2021 10:00am - 9:30pm,Notes Case worked at venue,Date added 30/05/2021 10:10pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-30,1,4
64,Suburb Malvern East (Chadstone),"Site QBD Books Chadstone Shop B099, 1341 Dandenong Road Malvern East (Chadstone) VIC 3145",Exposure period 26/05/2021 1:07pm - 1:43pm,Notes Case attended venue,Date added 30/05/2021 10:00pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-30,2,4
65,Suburb Mount Dandenong,Site SkyHigh Mount Dandenong and SkyHigh Cafe 26 Observatory Road Mount Dandenong VIC 3767,Exposure period 15/05/2021 6:00pm - 7:50pm,Notes Case attended venue,Date added 30/05/2021 9:15pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-15,2021-05-30,2,15
66,Suburb Epping,Site Gloria Jean's Coffees Epping Plaza 583 High Street Epping VIC 3076,Exposure period 15/05/2021 1:50pm - 3:00pm,Notes Case attended venue,Date added 30/05/2021 9:15pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-15,2021-05-30,2,15
67,Suburb Epping,Site Blue Sapphire Coin Laundry Epping 2A Jovic Road Epping VIC 3076,Exposure period 22/05/2021 10:45pm - 11:59pm,Notes Case attended venue,Date added 30/05/2021 9:15pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
68,Suburb Epping,Site Blue Sapphire Coin Laundry Epping 2A Jovic Road Epping VIC 3076,Exposure period 23/05/2021 12:00am - 12:30am,Notes Case attended venue,Date added 30/05/2021 9:15pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-30,2,7
69,Suburb Epping,Site Soprano's Pizza 746 High Street Epping VIC 3076,Exposure period 20/05/2021 5:50pm - 6:45pm,Notes Case attended venue,Date added 30/05/2021 9:15pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-20,2021-05-30,2,10
70,Suburb Lalor,Site The Cake Box 314 Station Street Lalor VIC 3075,Exposure period 18/05/2021 3:30pm - 4:10pm,Notes Case attended venue,Date added 30/05/2021 9:15pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-18,2021-05-30,2,12
71,Suburb Chadstone,Site Zimmerman Chadstone 1341 Dandenong Road Chadstone VIC 3145,Exposure period 26/05/2021 12:50pm - 1:30pm,Notes Case attended venue,Date added 30/05/2021 9:15pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-30,2,4
72,Suburb Malvern East (Chadstone),"Site Breadtop Chadstone Shop F010, 1341 Dandenong Road Malvern East (Chadstone) VIC 3145",Exposure period 26/05/2021 1:03pm - 1:37pm,Notes Case attended venue,Date added 30/05/2021 9:15pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-30,2,4
73,Suburb Reservoir,Site Akkar Pastry 274 Broadway Reservoir VIC 3073,Exposure period 26/05/2021 9:50am - 10:25am,Notes Case attended venue,Date added 30/05/2021 8:40pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-30,2,4
74,Suburb Reservoir,Site My Chemist Broadway 270 Broadway Reservoir VIC 3073,Exposure period 25/05/2021 4:45pm - 5:25pm,Notes Case attended venue,Date added 30/05/2021 8:40pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-25,2021-05-30,2,5
75,Suburb Epping,Site Coles Epping Aurora Village 315A Harvest Home Rd Epping VIC 3076,Exposure period 25/05/2021 10:05pm - 10:45pm,Notes Case attended venue,Date added 30/05/2021 8:40pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-25,2021-05-30,2,5
76,Suburb Epping,Site Liquorland Aurora Village 315A Harvest Home Rd Epping VIC 3076,Exposure period 24/05/2021 5:25pm - 6:05pm,Notes Case attended venue,Date added 30/05/2021 8:40pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-24,2021-05-30,2,6
77,Suburb Mill Park,Site Coles Westfield Plenty Valley Civic Drive (415 McDonalds Rd) Mill Park VIC 3082,Exposure period 23/05/2021 9:00am - 9:35am,Notes Case attended venue,Date added 30/05/2021 8:40pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-30,2,7
78,Suburb Mill Park,Site Little Sparrow Westfield Plenty Valley 415 McDonalds Rd Mill Park VIC 3082,Exposure period 23/05/2021 8:50am - 9:25am,Notes Case attended venue,Date added 30/05/2021 8:40pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-30,2,7
79,Suburb Ivanhoe,Site Fairy Hills Kindergarten 7 Thyer Road Ivanhoe VIC 3079,Exposure period 25/05/2021 9:15am - 11:00am,Notes Case attended venue,Date added 30/05/2021 8:30pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-25,2021-05-30,1,5
80,Suburb South Melbourne,Site Woolworths South Melbourne 113 Cecil Street South Melbourne VIC 3205,Exposure period 22/05/2021 1:20pm - 1:57pm,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
81,Suburb South Melbourne,Site Woolworths South Melbourne 113 Cecil Street South Melbourne VIC 3205,Exposure period 23/05/2021 7:00pm - 8:15pm,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-30,2,7
82,Suburb Cranbourne West,Site Woolworths Cranbourne West Cnr Hall and Evans Roads Cranbourne West VIC 3977,Exposure period 22/05/2021 2:25pm - 3:15pm,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
83,Suburb Cranbourne,Site 7-Eleven Cranbourne Amstel 1/1016s Cranbourne-Frankston Rd Cranbourne VIC 3977,Exposure period 22/05/2021 2:20pm - 2:55pm,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
84,Suburb Cranbourne,"Site Factorie Shop SP104 Cranbourne Park Shopping Centre, High St Cranbourne VIC 3977",Exposure period 23/05/2021 11:00am - 11:45am,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-30,2,7
85,Suburb Footscray,Site Inday Fillipino Store 121/81 Hopkins St (Footscray Market) Footscray VIC 3011,Exposure period 26/05/2021 1:50pm - 2:40pm,Notes Case attended venue,Date added 30/05/2021 8:30pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-30,1,4
86,Suburb Melbourne,Site The Lott (St Kilda Road News) 509 St Kilda Road Melbourne VIC 3004,Exposure period 24/05/2021 8:03am - 8:35am,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-24,2021-05-30,2,6
87,Suburb Cranbourne,Site Oporto Cranbourne Chicken 1016 Cranbourne-Frankston Rd Cranbourne VIC 3977,Exposure period 23/05/2021 2:50pm - 3:25pm,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-30,2,7
88,Suburb Richmond,Site My Homes and Gifts 182-186 Victoria St Richmond VIC 3121,Exposure period 22/05/2021 1:00pm - 3:40pm,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
89,Suburb Elwood,Site Turtle Cafe Elwood 34 Glen Huntly Rd Elwood VIC 3184,Exposure period 24/05/2021 7:42am - 8:20am,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-24,2021-05-30,2,6
90,Suburb Port Melbourne,Site Coles Port Melbourne Corner Bay and Liardet St Port Melbourne VIC 3207,Exposure period 24/05/2021 3:10pm - 3:45pm,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-24,2021-05-30,2,6
91,Suburb Keilor Downs,"Site German Shepherd Dog Club of Victoria Western Branch Green Gully Reserve, McCrae Boulevard Keilor Downs VIC 3038",Exposure period 23/05/2021 9:15am - 11:20am,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-30,2,7
92,Suburb Noble Park,Site New Lanka Restaurant 262 Railway Parade Noble Park VIC 3175,Exposure period 22/05/2021 10:05am - 10:45am,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
93,Suburb Yarraville,Site Prestige Fruit and Vegetables 27 Anderson St Yarraville VIC 3013,Exposure period 24/05/2021 6:15am - 7:00am,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-24,2021-05-30,2,6
94,Suburb South Melbourne,Site Zoumi Cafe 70 Albert Rd South Melbourne VIC 3205,Exposure period 22/05/2021 10:35am - 11:05am,Notes Case attended venue,Date added 30/05/2021 8:30pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
95,Suburb Footscray,"Site Thai Huy Butcher Shop 144, 18 Irving Street  Footscray VIC 3011",Exposure period 27/05/2021 1:40pm - 2:30pm,Notes Case attended venue,Date added 30/05/2021 7:40pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-27,2021-05-30,1,3
96,Suburb Bus Route,Site PTV Bus Number 412 Paisley Street/Footscray to Millers Road/Geelong Bus Route VIC,Exposure period 27/05/2021 2:30pm - 2:44pm,Notes Case travelled on public transport,Date added 30/05/2021 7:40pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-27,2021-05-30,1,3
97,Suburb Point Cook,Site Target - Stockland Point Cook Shopping Centre Murnong Street Point Cook VIC 3030,Exposure period 26/05/2021 3:30pm - 5:30pm,Notes Case attended venue,Date added 30/05/2021 7:40pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-30,1,4
98,Suburb St Kilda,Site Galleon Cafe 9 Carlisile Street St Kilda VIC 3182,Exposure period 23/05/2021 1:08pm - 2:01pm,Notes Case attended venue,Date added 30/05/2021 7:27pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-30,2,7
