,_id,Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,tier,date_delay
25,26,Public Transport,Yarra Tram 19,19 Tram to North Coburg (Collins St/Elizabeth St (stop #2) to Coburg Market/Sydney Rd (stop #33),VIC,3000,2021-06-03,03/06/2021,3:32pm - 4:10pm,"Case travelled on Public Transport
",2021-06-07,07/06/2021,19:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:32:00,16:10:00,2,4.0
26,27,Yarraville,7 Eleven Yarraville	,Cnr Williamstown and Somerville Roads	,VIC,3013,2021-06-03,03/06/2021,6:30am - 6:50am,Case attended venue,2021-06-07,07/06/2021,19:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",06:30:00,06:50:00,2,4.0
27,28,Port Melbourne,United West Gate South (Soutbound)        ,2 West Gate Freeway,VIC,3207,2021-06-04,04/06/2021,2:00pm - 2:30pm,Case attended venue,2021-06-07,07/06/2021,19:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",14:00:00,14:30:00,2,3.0
28,29,Maribyrnong,7 Eleven Maribyrnong	,32 Raleigh Road & Navigator Street,VIC,3032,2021-06-04,04/06/2021,8:05pm - 8:20pm,Case attended venue,2021-06-07,07/06/2021,19:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",20:05:00,20:20:00,2,3.0
29,30,Southbank,Chemist Warehouse Southbank	,"Shops 2 and 3, 153 to 159 Sturt Street",VIC,3006,2021-06-05,05/06/2021,12:30pm - 1:00pm,Case attended venue,2021-06-07,07/06/2021,19:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:30:00,13:00:00,2,2.0
30,31,Southbank,IGA Sturt Street Plus Liquor	,151 Sturt Street,VIC,3006,2021-06-05,05/06/2021,12:45pm - 1:00pm,Case attended venue,2021-06-07,07/06/2021,19:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:45:00,13:00:00,2,2.0
31,32,Southbank,Chemist Warehouse Southbank	,"Shops 2 and 3, 153 to 159 Sturt Street",VIC,3006,2021-06-06,06/06/2021,10:00am - 10:10am,Case attended venue,2021-06-07,07/06/2021,19:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:00:00,10:10:00,2,1.0
32,33,South Melbourne,Chemist Warehouse South Melbourne	,310 Clarendon Street,VIC,3205,2021-06-06,06/06/2021,10:10am - 10:20am,Case attended venue,2021-06-07,07/06/2021,19:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:10:00,10:20:00,2,1.0
33,34,South Wharf,COVID-19 Vaccination Centre at Melbourne Convention and Exhibition Centre,1 Convention Centre Pl,VIC,3006,2021-06-07,07/06/2021,3:15pm - 4:00pm,Case attended venue,2021-06-08,08/06/2021,10:15:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",15:15:00,16:00:00,3,1.0
34,35,South Melbourne,The Old Paper Shop Deli,266-268 Clarendon Street ,VIC,3205,2021-06-05,05/06/2021,10:50am - 11:15am,Case attended venue,2021-06-09,09/06/2021,12:22:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:50:00,11:15:00,2,4.0
35,36,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-05-31,31/05/2021,12:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,9.0
36,37,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-06-01,01/06/2021,12:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,8.0
37,38,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-06-02,02/06/2021,12:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,7.0
38,39,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-06-03,03/06/2021,12:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,6.0
39,40,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-06-04,04/06/2021,12:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,,00:00:00,23:59:00,1,5.0
40,41,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-06-05,05/06/2021,12:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,4.0
41,42,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-05-26,26/05/2021,7:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:10,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:00:00,23:59:00,1,14.0
42,43,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-05-27,27/05/2021,12:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:09,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,13.0
43,44,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-05-28,28/05/2021,12:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:08,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,12.0
44,45,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-05-29,29/05/2021,12:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:07,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,11.0
45,46,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-05-26,26/05/2021,7:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case ",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:00:00,23:59:00,1,14.0
46,47,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-05-27,27/05/2021,12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case ",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,13.0
47,48,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-05-28,28/05/2021,12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,12.0
48,49,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-05-29,29/05/2021,12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,11.0
49,50,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-05-30,30/05/2021,12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,10.0
50,51,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-05-31,31/05/2021,12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,9.0
51,52,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-06-01,01/06/2021,12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,8.0
52,53,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-06-02,02/06/2021,12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,7.0
53,54,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-06-03,03/06/2021,12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,6.0
54,55,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-06-04,04/06/2021,12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,5.0
55,56,Maidstone,Arcare Maidstone (Communal facilities),31 Hampstead Rd,VIC,3012,2021-06-05,05/06/2021,12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tearoom or office space) with a confirmed case",2021-06-09,09/06/2021,18:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,4.0
56,57,Maidstone,Arcare Maidstone (Magnolia Unit),31 Hampstead Rd,VIC,3012,2021-05-30,30/05/2021,12:00am - 11:59pm,Any person who has been on the Magnolia Unit since the morning of 7am on 26 May until 11:59pm on Saturday June 5,2021-06-09,09/06/2021,18:00:04,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,10.0
57,58,Reservoir,Marco Fine Food & Groceries - Reservoir Central,"Shop 8, 830 Plenty Rd",VIC,3073,2021-06-08,08/06/2021,12:00pm - 12:30pm,Case attended venue,2021-06-09,09/06/2021,23:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,12:30:00,2,1.0
58,59,Thomastown,BP Thomastown,72 Keon Parade,VIC,3074,2021-06-07,07/06/2021,6:00pm - 6:30pm,Case attended venue,2021-06-09,09/06/2021,23:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",18:00:00,18:30:00,2,2.0
59,60,Bundoora,Coles Bundoora Square,"Settlement Rd & Plenty Rd, Bundoora Square Shopping Centre",VIC,3083,2021-06-07,07/06/2021,12:00pm - 1:00pm,Case attended venue,2021-06-09,09/06/2021,23:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,13:00:00,2,2.0
60,61,Thomastown,Bunnings Thomastown,11 Dalton Rd,VIC,3074,2021-06-08,08/06/2021,5:20pm - 6:10pm,Case attended venue,2021-06-09,09/06/2021,23:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:20:00,18:10:00,2,1.0
61,78,Thomastown,Rexel Aust,1/161 Settlement Road,VIC,3074,2021-05-21,21/05/2021,6:30am - 4:00pm,case attended venue,2021-06-11,11/06/2021,22:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",06:30:00,16:00:00,2,21.0
62,62,Bundoora,Coles - Bundoora Square Shopping Centre,"Settlement Rd & Plenty Rd, Bundoora Square Shopping Centre",VIC,3083,2021-06-06,06/06/2021,12:00pm - 1:00pm,Case attended venue,2021-06-10,10/06/2021,17:05:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,13:00:00,2,4.0
63,63,Heidelberg,Coles - Warringal Shopping Centre,Burgundy St & Rosanna Rd,VIC,3084,2021-06-07,07/06/2021,4:20pm - 5:20pm,Case attended venue,2021-06-10,10/06/2021,17:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:20:00,17:20:00,2,3.0
64,64,Thomastown,AMPOL,Cnr of Dalton Rd & Wood St,VIC,3074,2021-06-05,05/06/2021,10:45am - 11:25am,Case attended venue,2021-06-10,10/06/2021,17:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:45:00,11:25:00,2,5.0
65,65,Taylors Lakes,Coles Express,410 Melton Highway,VIC,3038,2021-06-01,01/06/2021,5:30am - 5:45am,case attended venue,2021-06-11,11/06/2021,19:11:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",05:30:00,05:45:00,2,10.0
